year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses,02-Jan,348,Individual,António Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,male,University of Lisbon,Lisbon,Portugal,13/12/1955,Lisbon,Portugal
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,02-Jan,347,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,male,University of Zurich,Zurich,Switzerland,12/08/1973,Ascona,Switzerland
1950,Chemistry,The Nobel Prize in Chemistry,for their discovery and development of the diene synthesis,02-Jan,211,Individual,Kurt Alder,10/07/1902,Königshütte,Prussia,male,Cologne University,Cologne,Germany,20/06/1958,Cologne,West Germany
1950,Chemistry,The Nobel Prize in Chemistry,for their discovery and development of the diene synthesis,02-Jan,210,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,male,Kiel University,Kiel,Germany,07/03/1954,Kiel,West Germany
1950,Literature,The Nobel Prize in Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,1,621,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,male,,,,02/02/1970,Penrhyndeudraeth,United Kingdom
1950,Peace,The Nobel Peace Prize,for his work as mediator in Palestine in 1948-1949,1,511,Individual,Ralph Bunche,07/08/1904,"Detroit, MI",USA,male,Harvard University,"Cambridge, MA",USA,09/12/1971,"New York, NY",USA
1950,Physics,The Nobel Prize in Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,1,55,Individual,Cecil Frank Powell,05/12/1903,Tonbridge,United Kingdom,male,Bristol University,Bristol,United Kingdom,09/08/1969,,Italy
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",03-Jan,349,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",USA,male,Mayo Clinic,"Rochester, MN",USA,04/05/1972,"Princeton, NJ",USA
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",03-Jan,351,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",USA,male,Mayo Clinic,"Rochester, MN",USA,30/03/1965,Ocho Rios,Jamaica
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",03-Jan,350,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,male,Basel University,Basel,Switzerland,01/08/1996,Basel,Switzerland
1951,Chemistry,The Nobel Prize in Chemistry,for their discoveries in the chemistry of the transuranium elements,02-Jan,212,Individual,Edwin Mattison McMillan,18/09/1907,"Redondo Beach, CA",USA,male,University of California,"Berkeley, CA",USA,07/09/1991,"El Cerrito, CA",USA
1951,Chemistry,The Nobel Prize in Chemistry,for their discoveries in the chemistry of the transuranium elements,02-Jan,213,Individual,Glenn Theodore Seaborg,19/04/1912,"Ishpeming, MI",USA,male,University of California,"Berkeley, CA",USA,25/02/1999,"Lafayette, CA",USA
1951,Literature,The Nobel Prize in Literature,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,1,622,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,male,,,,11/07/1974,Stockholm,Sweden
1951,Peace,The Nobel Peace Prize,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,1,512,Individual,Léon Jouhaux,1879-07-01,Paris,France,male,,,,28/04/1954,Paris,France
1951,Physics,The Nobel Prize in Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,02-Jan,57,Individual,Ernest Thomas Sinton Walton,06/10/1903,Dungarvan,Ireland,male,Trinity College,Dublin,Ireland,25/06/1995,Belfast,Northern Ireland
1951,Physics,The Nobel Prize in Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,02-Jan,56,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,18/09/1967,Cambridge,United Kingdom
1951,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning yellow fever and how to combat it,1,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",USA,11/08/1972,"New Haven, CT",USA
1952,Chemistry,The Nobel Prize in Chemistry,for their invention of partition chromatography,02-Jan,214,Individual,Archer John Porter Martin,01/03/1910,London,United Kingdom,male,National Institute for Medical Research,London,United Kingdom,28/07/2002,Llangarron,United Kingdom
1952,Chemistry,The Nobel Prize in Chemistry,for their invention of partition chromatography,02-Jan,215,Individual,Richard Laurence Millington Synge,28/10/1914,Liverpool,United Kingdom,male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,18/08/1994,Norwich,United Kingdom
1952,Literature,The Nobel Prize in Literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,1,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,male,,,,01/09/1970,Paris,France
1952,Peace,The Nobel Peace Prize,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",1,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany,male,,,,04/09/1965,Lambaréné,Gabon
1952,Physics,The Nobel Prize in Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,02-Jan,59,Individual,Edward Mills Purcell,30/08/1912,"Taylorville, IL",USA,male,Harvard University,"Cambridge, MA",USA,07/03/1997,"Cambridge, MA",USA
1952,Physics,The Nobel Prize in Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,02-Jan,58,Individual,Felix Bloch,23/10/1905,Zurich,Switzerland,male,Stanford University,"Stanford, CA",USA,10/09/1983,Zurich,Switzerland
1952,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",1,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka,Russian Empire,male,Rutgers University,"New Brunswick, NJ",USA,16/08/1973,"Hyannis, MA",USA
1953,Chemistry,The Nobel Prize in Chemistry,for his discoveries in the field of macromolecular chemistry,1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,male,University of Freiburg,Breisgau,Germany,08/09/1965,Freiburg im Breisgau,West Germany
1953,Literature,The Nobel Prize in Literature,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,1,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,male,,,,24/01/1965,London,United Kingdom
1953,Peace,The Nobel Peace Prize,for proposing and supervising the plan for the economic recovery of Europe,1,514,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",USA,male,,,,16/10/1959,"Washington, D.C.",USA
1953,Physics,The Nobel Prize in Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",1,60,Individual,Frits Zernike,1888-07-16,Amsterdam,the Netherlands,male,Groningen University,Groningen,the Netherlands,10/03/1966,Groningen,the Netherlands
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism,02-Jan,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg,Germany,male,Harvard Medical School,"Boston, MA",USA,24/07/1986,"Poughkeepsie, NY",USA
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the citric acid cycle,02-Jan,354,Individual,Hans Adolf Krebs,25/08/1900,Hildesheim,Germany,male,Sheffield University,Sheffield,United Kingdom,22/11/1981,Oxford,United Kingdom
1954,Chemistry,The Nobel Prize in Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,1,217,Individual,Linus Carl Pauling,28/02/1901,"Portland, OR",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,19/08/1994,"Big Sur, CA",USA
1954,Literature,The Nobel Prize in Literature,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",1,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",USA,male,,,,02/07/1961,"Ketchum, ID",USA
1954,Peace,The Nobel Peace Prize,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,1,515,Organization,Office of the United Nations High Commissioner for Refugees,14/12/1950,Geneva,Switzerland,,,,,,,
1954,Physics,The Nobel Prize in Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",02-Jan,61,Individual,Max Born,1882-12-11,Breslau,Germany,male,Edinburgh University,Edinburgh,United Kingdom,05/01/1970,Göttingen,West Germany
1954,Physics,The Nobel Prize in Physics,for the coincidence method and his discoveries made therewith,02-Jan,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,male,University of Heidelberg,Heidelberg,Germany,08/02/1957,Heidelberg,West Germany
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,03-Jan,358,Individual,Frederick Chapman Robbins,25/08/1916,"Auburn, AL",USA,male,Western Reserve University,"Cleveland, OH",USA,04/08/2003,"Cleveland, OH",USA
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,03-Jan,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",USA,male,Harvard Medical School,"Boston, MA",USA,08/09/1985,"Waterford, CT",USA
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,03-Jan,357,Individual,Thomas Huckle Weller,15/06/1915,"Ann Arbor, MI",USA,male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",USA,23/08/2008,"Needham, MA",USA
1955,Chemistry,The Nobel Prize in Chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",1,218,Individual,Vincent du Vigneaud,18/05/1901,"Chicago, IL",USA,male,Cornell University,"Ithaca, NY",USA,11/12/1978,"White Plains, NY",USA
1955,Literature,The Nobel Prize in Literature,for his vivid epic power which has renewed the great narrative art of Iceland,1,626,Individual,Halldór Kiljan Laxness,23/04/1902,Reykjavik,Iceland,male,,,,08/02/1998,Reykjavik,Iceland
1955,Physics,The Nobel Prize in Physics,for his precision determination of the magnetic moment of the electron,02-Jan,64,Individual,Polykarp Kusch,26/01/1911,Blankenburg,Germany,male,Columbia University,"New York, NY",USA,20/03/1993,"Dallas, TX",USA
1955,Physics,The Nobel Prize in Physics,for his discoveries concerning the fine structure of the hydrogen spectrum,02-Jan,63,Individual,Willis Eugene Lamb,12/07/1913,"Los Angeles, CA",USA,male,Stanford University,"Stanford, CA",USA,15/05/2008,"Tucson, AZ",USA
1955,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes,1,359,Individual,Axel Hugo Theodor Theorell,06/07/1903,Linköping,Sweden,male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,15/08/1982,Stockholm,Sweden
1956,Chemistry,The Nobel Prize in Chemistry,for their researches into the mechanism of chemical reactions,02-Jan,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR,25/09/1986,Moscow,USSR
1956,Chemistry,The Nobel Prize in Chemistry,for their researches into the mechanism of chemical reactions,02-Jan,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,male,University of Oxford,Oxford,United Kingdom,09/10/1967,London,United Kingdom
1956,Literature,The Nobel Prize in Literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",1,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,male,,,,29/05/1958,San Juan,Puerto Rico
1956,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,03-Jan,66,Individual,John Bardeen,23/05/1908,"Madison, WI",USA,male,University of Illinois,"Urbana, IL",USA,30/01/1991,"Boston, MA",USA
1956,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,03-Jan,67,Individual,Walter Houser Brattain,10/02/1902,Amoy,China,male,Bell Telephone Laboratories,"Murray Hill, NJ",USA,13/10/1987,"Seattle, WA",USA
1956,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,03-Jan,65,Individual,William Bradford Shockley,13/02/1910,London,United Kingdom,male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",USA,12/08/1989,"Palo Alto, CA",USA
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,03-Jan,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,19/02/1988,"Great Barrington, MA",USA
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,03-Jan,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",USA,male,Columbia University,"New York, NY",USA,23/02/1973,"Lakeville, CT",USA
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,03-Jan,361,Individual,Werner Forssmann,29/08/1904,Berlin,Germany,male,Mainz University,Mainz,Germany,01/06/1979,Schopfheim,West Germany
1957,Chemistry,The Nobel Prize in Chemistry,for his work on nucleotides and nucleotide co-enzymes,1,221,Individual,Lord (Alexander R.) Todd,02/10/1907,Glasgow,Scotland,male,University of Cambridge,Cambridge,United Kingdom,10/01/1997,Cambridge,United Kingdom
1957,Literature,The Nobel Prize in Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",1,628,Individual,Albert Camus,07/11/1913,Mondovi,French Algeria,male,,,,04/01/1960,Sens,France
1957,Peace,The Nobel Peace Prize,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,1,516,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,male,,,,27/12/1972,Ottawa,Canada
1957,Physics,The Nobel Prize in Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,02-Jan,68,Individual,Chen Ning Yang,22/09/1922,"Hofei, Anhwei",China,male,Institute for Advanced Study,"Princeton, NJ",USA,,,
1957,Physics,The Nobel Prize in Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,02-Jan,69,Individual,Tsung-Dao (T.D.) Lee,24/11/1926,Shanghai,China,male,Columbia University,"New York, NY",USA,,,
1957,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",1,363,Individual,Daniel Bovet,23/03/1907,Neuchâtel,Switzerland,male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,08/04/1992,Rome,Italy
1958,Chemistry,The Nobel Prize in Chemistry,"for his work on the structure of proteins, especially that of insulin",1,222,Individual,Frederick Sanger,13/08/1918,Rendcombe,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,19/11/2013,Cambridge,United Kingdom
1958,Literature,The Nobel Prize in Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,1,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,male,,,,30/05/1960,Peredelkino,Russia
1958,Peace,The Nobel Peace Prize,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,1,517,Individual,Georges Pire,10/02/1910,Dinant,Belgium,male,,,,30/01/1969,Leuven,Belgium
1958,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,03-Jan,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,male,Lomonosov Moscow State University,Moscow,USSR,12/04/1971,Moscow,USSR
1958,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,03-Jan,721,Individual,Il´ja Mikhailovich Frank,23/10/1908,Leningrad,Russia,male,Lomonosov Moscow State University,Moscow,USSR,22/06/1990,Moscow,USSR
1958,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,03-Jan,70,Individual,Pavel Alekseyevich Cherenkov,28/07/1904,Novaya Chigla,Russia,male,P.N. Lebedev Physical Institute,Moscow,USSR,06/01/1990,,USSR
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,04-Jan,365,Individual,Edward Lawrie Tatum,14/12/1909,"Boulder, CO",USA,male,Rockefeller Institute for Medical Research,"New York, NY",USA,05/11/1975,"New York, NY",USA
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,04-Jan,364,Individual,George Wells Beadle,22/10/1903,"Wahoo, NE",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,09/06/1989,"Pomona, CA",USA
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,02-Jan,366,Individual,Joshua Lederberg,23/05/1925,"Montclair, NJ",USA,male,University of Wisconsin,"Madison, WI",USA,02/02/2008,"New York, NY",USA
1959,Chemistry,The Nobel Prize in Chemistry,for his discovery and development of the polarographic methods of analysis,1,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary,male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,27/03/1967,Prague,Czechoslovakia
1959,Literature,The Nobel Prize in Literature,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",1,630,Individual,Salvatore Quasimodo,20/08/1901,Modica,Italy,male,,,,14/06/1968,Naples,Italy
1959,Peace,The Nobel Peace Prize,for his longstanding contribution to the cause of disarmament and peace,1,518,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,male,,,,08/10/1982,London,United Kingdom
1959,Physics,The Nobel Prize in Physics,for their discovery of the antiproton,02-Jan,72,Individual,Emilio Gino Segrè,01/02/1905,Tivoli,Italy,male,University of California,"Berkeley, CA",USA,22/04/1989,"Lafayette, CA",USA
1959,Physics,The Nobel Prize in Physics,for their discovery of the antiproton,02-Jan,73,Individual,Owen Chamberlain,10/07/1920,"San Francisco, CA",USA,male,University of California,"Berkeley, CA",USA,28/02/2006,"Berkeley, CA",USA
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,02-Jan,368,Individual,Arthur Kornberg,03/03/1918,"Brooklyn, NY",USA,male,Stanford University,"Stanford, CA",USA,26/10/2007,"Stanford, CA",USA
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,02-Jan,367,Individual,Severo Ochoa,24/09/1905,Luarca,Spain,male,"New York University, College of Medicine","New York, NY",USA,01/11/1993,Madrid,Spain
1960,Chemistry,The Nobel Prize in Chemistry,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",1,224,Individual,Willard Frank Libby,17/12/1908,"Grand Valley, CO",USA,male,University of California,"Los Angeles, CA",USA,08/09/1980,"Los Angeles, CA",USA
1960,Literature,The Nobel Prize in Literature,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,1,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,male,,,,20/09/1975,Presqu'île-de-Giens,France
1960,Peace,The Nobel Peace Prize,for his non-violent struggle against apartheid,1,519,Individual,Albert John Lutuli,1898-01-01,Bulawayo,Southern Rhodesia,male,,,,21/07/1967,Stanger,South Africa
1960,Physics,The Nobel Prize in Physics,for the invention of the bubble chamber,1,74,Individual,Donald Arthur Glaser,21/09/1926,"Cleveland, OH",USA,male,University of California,"Berkeley, CA",USA,28/02/2013,"Berkeley, CA",USA
1960,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for discovery of acquired immunological tolerance,02-Jan,370,Individual,Peter Brian Medawar,28/02/1915,Rio de Janeiro,Brazil,male,University College,London,United Kingdom,02/10/1987,London,United Kingdom
1960,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for discovery of acquired immunological tolerance,02-Jan,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,31/08/1985,Melbourne,Australia
1961,Chemistry,The Nobel Prize in Chemistry,for his research on the carbon dioxide assimilation in plants,1,225,Individual,Melvin Calvin,08/04/1911,"St. Paul, MN",USA,male,University of California,"Berkeley, CA",USA,08/01/1997,"Berkeley, CA",USA
1961,Literature,The Nobel Prize in Literature,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,1,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia,male,,,,13/03/1975,Belgrade,Yugoslavia
1961,Peace,The Nobel Peace Prize,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",1,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,29/07/1905,Jönköping,Sweden,male,,,,18/09/1961,Ndola,Northern Rhodesia
1961,Physics,The Nobel Prize in Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,02-Jan,75,Individual,Robert Hofstadter,05/02/1915,"New York, NY",USA,male,Stanford University,"Stanford, CA",USA,17/11/1990,"Stanford, CA",USA
1961,Physics,The Nobel Prize in Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,02-Jan,76,Individual,Rudolf Ludwig Mössbauer,31/01/1929,Munich,Germany,male,Technical University,Munich,Germany,14/09/2011,,
1961,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries of the physical mechanism of stimulation within the cochlea,1,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,male,Harvard University,"Cambridge, MA",USA,13/06/1972,"Honolulu, HI",USA
1962,Chemistry,The Nobel Prize in Chemistry,for their studies of the structures of globular proteins,02-Jan,227,Individual,John Cowdery Kendrew,24/03/1917,Oxford,United Kingdom,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,23/08/1997,Cambridge,United Kingdom
1962,Chemistry,The Nobel Prize in Chemistry,for their studies of the structures of globular proteins,02-Jan,226,Individual,Max Ferdinand Perutz,19/05/1914,Vienna,Austria,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,06/02/2002,Cambridge,United Kingdom
1962,Literature,The Nobel Prize in Literature,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",1,634,Individual,John Steinbeck,27/02/1902,"Salinas, CA",USA,male,,,,20/12/1968,"New York, NY",USA
1962,Peace,The Nobel Peace Prize,for his fight against the nuclear arms race between East and West,1,217,Individual,Linus Carl Pauling,28/02/1901,"Portland, OR",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,19/08/1994,"Big Sur, CA",USA
1962,Physics,The Nobel Prize in Physics,"for his pioneering theories for condensed matter, especially liquid helium",1,77,Individual,Lev Davidovich Landau,22/01/1908,Baku,Russian Empire,male,Academy of Sciences,Moscow,USSR,01/04/1968,Moscow,USSR
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,03-Jan,372,Individual,Francis Harry Compton Crick,08/06/1916,Northampton,United Kingdom,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,28/07/2004,"San Diego, CA",USA
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,03-Jan,373,Individual,James Dewey Watson,06/04/1928,"Chicago, IL",USA,male,Harvard University,"Cambridge, MA",USA,,,
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,03-Jan,374,Individual,Maurice Hugh Frederick Wilkins,15/12/1916,Pongaroa,New Zealand,male,London University,London,United Kingdom,05/10/2004,London,United Kingdom
1963,Chemistry,The Nobel Prize in Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,02-Jan,229,Individual,Giulio Natta,26/02/1903,Imperia,Italy,male,Institute of Technology,Milan,Italy,02/05/1979,Bergamo,Italy
1963,Chemistry,The Nobel Prize in Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,02-Jan,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,male,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany,12/08/1973,Mülheim,West Germany
1963,Literature,The Nobel Prize in Literature,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",1,635,Individual,Giorgos Seferis,13/03/1900,Smyrna,Ottoman Empire,male,,,,20/09/1971,Athens,Greece
1963,Peace,The Nobel Peace Prize,for promoting the principles of the Geneva Convention and cooperation with the UN,02-Jan,482,Organization,International Committee of the Red Cross,1863-01-01,Geneva,Switzerland,,,,,,,
1963,Peace,The Nobel Peace Prize,for promoting the principles of the Geneva Convention and cooperation with the UN,02-Jan,523,Organization,League of Red Cross Societies,01/01/1919,Paris,France,,,,,,,
1963,Physics,The Nobel Prize in Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",02-Jan,78,Individual,Eugene Paul Wigner,17/11/1902,Budapest,Austria-Hungary,male,Princeton University,"Princeton, NJ",USA,01/01/1995,"Princeton, NJ",USA
1963,Physics,The Nobel Prize in Physics,for their discoveries concerning nuclear shell structure,04-Jan,80,Individual,J. Hans D. Jensen,25/06/1907,Hamburg,Germany,male,University of Heidelberg,Heidelberg,Germany,11/02/1973,Heidelberg,West Germany
1963,Physics,The Nobel Prize in Physics,for their discoveries concerning nuclear shell structure,04-Jan,79,Individual,Maria Goeppert Mayer,28/06/1906,Kattowitz,Germany,female,University of California,"San Diego, CA",USA,20/02/1972,"San Diego, CA",USA
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,03-Jan,376,Individual,Alan Lloyd Hodgkin,05/02/1914,Banbury,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,20/12/1998,Cambridge,United Kingdom
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,03-Jan,377,Individual,Andrew Fielding Huxley,22/11/1917,Hampstead,United Kingdom,male,University College,London,United Kingdom,30/05/2012,Grantchester,United Kingdom
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,03-Jan,375,Individual,Sir John Carew Eccles,27/01/1903,Melbourne,Australia,male,Australian National University,Canberra,Australia,02/05/1997,Contra,Switzerland
1964,Chemistry,The Nobel Prize in Chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances,1,230,Individual,Dorothy Crowfoot Hodgkin,12/05/1910,Cairo,Egypt,female,"University of Oxford, Royal Society",Oxford,United Kingdom,29/07/1994,Shipston-on-Stour,United Kingdom
